EEG,alpha,beta,delta,theta
0.81177,0.0378,0.17001,1.1873,-0.56736
-0.09766,0.18076,-0.58164,1.18734,-0.64326
-0.76904,0.32822,-0.98107,1.17902,-0.69189
-0.61646,0.45626,-0.90858,1.16217,-0.70961
-0.36621,0.54064,-0.51249,1.13674,-0.69405
0.18921,0.56088,-0.06679,1.10281,-0.64431
0.61646,0.50395,0.22217,1.0606,-0.56099
0.84229,0.36712,0.31827,1.01038,-0.44622
0.91553,0.15934,0.31089,0.95248,-0.30354
0.7019,-0.09899,0.28832,0.88733,-0.13774
0.65918,-0.37779,0.24949,0.81547,0.04529
0.67749,-0.64098,0.1307,0.73752,0.23863
0.40894,-0.85129,-0.08441,0.65422,0.43452
0.04883,-0.97561,-0.28464,0.56633,0.62481
-0.10376,-0.98997,-0.27522,0.47468,0.80136
0.36011,-0.88342,0.06137,0.38015,0.95639
1.31836,-0.66042,0.60732,0.28364,1.08266
1.95313,-0.34123,1.0013,0.18607,1.17371
2.18506,0.04005,0.83294,0.08835,1.22431
1.80664,0.43936,-0.05728,-0.0086,1.23073
0.98877,0.80822,-1.37519,-0.10384,1.19093
0.0061,1.09991,-2.43745,-0.19642,1.10462
-0.04272,1.27566,-2.51749,-0.28543,0.97339
1.37329,1.30988,-1.29346,-0.37005,0.80068
3.41797,1.19404,0.87334,-0.44949,0.59174
4.48608,0.93831,3.03107,-0.52302,0.35326
4.01001,0.57059,4.09053,-0.58994,0.09314
3.21045,0.13317,3.40778,-0.64964,-0.17971
0.354,-0.32286,1.1683,-0.70166,-0.45566
-4.09546,-0.74399,-1.65869,-0.74562,-0.72469
-8.19702,-1.08097,-3.78873,-0.78119,-0.97685
-9.17969,-1.29504,-4.26874,-0.8081,-1.20272
-6.7627,-1.36266,-2.95003,-0.82619,-1.3937
-3.89404,-1.27832,-0.53609,-0.83544,-1.54233
-2.67334,-1.05487,1.80995,-0.83594,-1.64258
-1.85547,-0.72153,3.06904,-0.82785,-1.69016
-0.97656,-0.32001,2.849,-0.81141,-1.68281
-0.28687,0.10115,1.50209,-0.78696,-1.62022
-0.62256,0.49274,-0.14912,-0.75492,-1.50399
-1.94702,0.81133,-1.28984,-0.71582,-1.33768
-2.97852,1.02446,-1.51638,-0.67016,-1.12674
-2.22778,1.11403,-0.96045,-0.61857,-0.87829
-0.02441,1.07779,-0.11046,-0.56169,-0.60067
1.71509,0.92859,0.51985,-0.50023,-0.30325
1.5686,0.69189,0.66483,-0.43495,0.00387
0.177,0.40177,0.38189,-0.36658,0.31015
